manualsave.210923080922=2438.6,-6257.0,-1303.0
manualsave.212623082615=3000.9,5725.9,1193.5
manualsave.212823082820=-863.0,6243.8,1300.7
autosave.213323083328=6294.9,-1443.8,-299.5
manualsave.213423083419=10397.4,-9643.5,-2006.9
autosave.213423083421=10510.8,-9643.5,-2006.9
manualsave.213823083825=11894.5,-2969.2,-616.1
autosave.214023084044=18139.9,-3005.6,-622.4
manualsave.214123084104=20415.7,-1549.3,-318.5
manualsave.214223084203=12450.6,-2557.9,-530.1
autosave.214323084346=2738.0,-6241.6,-1299.8
autosave.214423084438=4377.9,-252.9,-51.8
autosave.214923084943=5637.4,-612.1,-126.3
autosave.215123085148=4842.1,-117.8,-23.5
autosave.210023090001=4177.5,-2501.1,-520.2
autosave.210223090206=4391.0,-252.6,-51.7
autosave.210723090715=4202.9,-2670.8,-555.6
manualsave.210923090916=2414.2,-6301.9,-1312.4
autosave.211623101641=5031.4,-8438.2,-1756.9
autosave.211723101741=4662.1,-203.3,-41.4
